iter	Passed	Remaining
0	2333	2330809
1	4622	2306490
2	6861	2280381
3	9105	2267377
4	11344	2257626
5	13590	2251465
6	15836	2246517
7	18082	2242207
8	20321	2237640
9	22560	2233503
10	24833	2232790
11	27059	2227917
12	29288	2223669
13	31589	2224769
14	33866	2223872
15	36097	2219987
16	38334	2216648
17	40585	2214158
18	42827	2211261
19	45070	2208459
20	47331	2206571
21	49574	2203817
22	51817	2201103
23	54033	2197361
24	56267	2194448
25	58514	2192050
26	60743	2188998
27	62993	2186766
28	65251	2184791
29	67481	2181909
30	69712	2179062
31	71943	2176301
32	74186	2173890
33	76448	2172037
34	78716	2170339
35	80951	2167705
36	83212	2165763
37	85470	2163752
38	87710	2161268
39	89985	2159662
40	92218	2157016
41	94447	2154304
42	96684	2151782
43	98926	2149401
44	101161	2146867
45	103390	2144235
46	105659	2142416
47	107912	2140260
48	110152	2137858
49	112388	2135387
50	114620	2132840
51	116857	2130411
52	119095	2127997
53	121357	2126007
54	123603	2123734
55	125841	2121323
56	128079	2118923
57	130354	2117137
58	132582	2114583
59	134873	2113017
60	137145	2111139
61	139383	2108732
62	141623	2106372
63	143874	2104168
64	146125	2101957
65	148365	2099591
66	150643	2097772
67	152888	2095476
68	155165	2093603
69	157410	2091306
70	159687	2089433
71	161935	2087169
72	164197	2085085
73	166450	2082877
74	168707	2080721
75	170986	2078830
76	173236	2076593
77	175472	2074177
78	177701	2071684
79	179965	2069598
80	182213	2067331
81	184493	2065425
82	186734	2063082
83	188982	2060805
84	191262	2058883
85	193519	2056711
86	195779	2054562
87	198062	2052646
88	200306	2050333
89	202555	2048063
90	204793	2045684
91	207045	2043451
92	209306	2041302
93	211546	2038944
94	213805	2036776
95	216051	2034488
96	218336	2032551
97	220589	2030323
98	222844	2028114
99	225112	2026014
100	227392	2024020
101	229674	2022036
102	231941	2019921
103	234175	2017513
104	236448	2015441
105	238728	2013427
106	240993	2011282
107	243231	2008908
108	245490	2006714
109	247795	2004889
110	250031	2002502
111	252312	2000481
112	254551	1998117
113	256796	1995803
114	259060	1993639
115	261324	1991476
116	263571	1989177
117	265834	1987002
118	268086	1984742
119	270322	1982361
120	272594	1980249
121	274867	1978144
122	277106	1975791
123	279370	1973619
124	281641	1971487
125	283902	1969292
126	286180	1967209
127	288408	1964784
128	290649	1962444
129	292904	1960208
130	295198	1958223
131	297494	1956251
132	299709	1953747
133	301949	1951406
134	304197	1949120
135	306463	1946943
136	308741	1944845
137	311017	1942731
138	313271	1940482
139	315503	1938095
140	317804	1936127
141	320054	1933848
142	322368	1931954
143	324636	1929783
144	326903	1927601
145	329185	1925511
146	331441	1923264
147	333720	1921149
148	335970	1918867
149	338260	1916806
150	340536	1914673
151	342814	1912543
152	345088	1910392
153	347347	1908155
154	349663	1906229
155	351907	1903910
156	354188	1901791
157	356416	1899382
158	358678	1897158
159	360956	1895021
160	363218	1892798
161	365457	1890454
162	367722	1888242
163	369980	1885996
164	372236	1883744
165	374492	1881487
166	376745	1879216
167	379042	1877160
168	381291	1874869
169	383577	1872759
170	385826	1870470
171	388103	1868311
172	390364	1866078
173	392614	1863789
174	394933	1861829
175	397163	1859447
176	399429	1857233
177	401696	1855024
178	403961	1852806
179	406230	1850605
180	408504	1848428
181	410785	1846276
182	413047	1844041
183	415278	1841671
184	417535	1839410
185	419785	1837127
186	422074	1835009
187	424363	1832887
188	426646	1830740
189	428947	1828669
190	431246	1826589
191	433566	1824590
192	435833	1822372
193	438099	1820145
194	440379	1817977
195	442639	1815725
196	444900	1813477
197	447207	1811417
198	449510	1809337
199	451805	1807220
200	454120	1805183
201	456374	1802903
202	458630	1800632
203	460884	1798353
204	463134	1796057
205	465374	1793726
206	467680	1791646
207	469944	1789402
208	472175	1787036
209	474399	1784647
210	476667	1782420
211	478942	1780221
212	481218	1778022
213	483469	1775735
214	485748	1773546
215	488007	1771284
216	490281	1769081
217	492546	1766839
218	494803	1764572
219	497086	1762398
220	499337	1760107
221	501584	1757804
222	503858	1755595
223	506127	1753371
224	508401	1751159
225	510651	1748868
226	512941	1746711
227	515219	1744513
228	517472	1742232
229	519743	1740010
230	521998	1737736
231	524261	1735486
232	526524	1733236
233	528798	1731024
234	531064	1728784
235	533328	1726538
236	535614	1724363
237	537897	1722174
238	540173	1719965
239	542467	1717814
240	544764	1715669
241	547027	1713417
242	549256	1711057
243	551523	1708817
244	553788	1706571
245	556050	1704316
246	558320	1702085
247	560606	1699903
248	562866	1697641
249	565100	1695301
250	567396	1693146
251	569711	1691048
252	571993	1688850
253	574243	1686557
254	576551	1684436
255	578843	1682264
256	581113	1680029
257	583375	1677769
258	585634	1675502
259	587920	1673313
260	590169	1671017
261	592413	1668707
262	594711	1666550
263	597017	1664413
264	599316	1662256
265	601585	1660013
266	603846	1657750
267	606120	1655523
268	608407	1653330
269	610657	1651037
270	612944	1648844
271	615221	1646621
272	617500	1644405
273	619750	1642111
274	622032	1639904
275	624298	1637653
276	626556	1635381
277	628841	1633177
278	631125	1630973
279	633420	1628795
280	635707	1626597
281	637982	1624366
282	640250	1622118
283	642513	1619857
284	644813	1617690
285	647104	1615499
286	649352	1613199
287	651650	1611024
288	653873	1608664
289	656152	1606441
290	658419	1604189
291	660733	1602052
292	662980	1599752
293	665272	1597558
294	667540	1595307
295	669808	1593058
296	672071	1590796
297	674312	1588482
298	676579	1586227
